lat,lon
28.526,77.3323
28.526,77.339992
28.526,77.347685
28.526,77.355377
28.526,77.363069
28.526,77.370762
28.526,77.378454
28.526,77.386146
28.526,77.393838
28.526,77.401531
28.526,77.409223
28.526,77.416915
28.526,77.424608
28.526,77.4323
28.533692,77.3323
28.533692,77.339992
28.533692,77.347685
28.533692,77.355377
28.533692,77.363069
28.533692,77.370762
28.533692,77.378454
28.533692,77.386146
28.533692,77.393838
28.533692,77.401531
28.533692,77.409223
28.533692,77.416915
28.533692,77.424608
28.533692,77.4323
28.541385,77.3323
28.541385,77.339992
28.541385,77.347685
28.541385,77.355377
28.541385,77.363069
28.541385,77.370762
28.541385,77.378454
28.541385,77.386146
28.541385,77.393838
28.541385,77.401531
28.541385,77.409223
28.541385,77.416915
28.541385,77.424608
28.541385,77.4323
28.549077,77.3323
28.549077,77.339992
28.549077,77.347685
28.549077,77.355377
28.549077,77.363069
28.549077,77.370762
28.549077,77.378454
28.549077,77.386146
28.549077,77.393838
28.549077,77.401531
28.549077,77.409223
28.549077,77.416915
28.549077,77.424608
28.549077,77.4323
28.556769,77.3323
28.556769,77.339992
28.556769,77.347685
28.556769,77.355377
28.556769,77.363069
28.556769,77.370762
28.556769,77.378454
28.556769,77.386146
28.556769,77.393838
28.556769,77.401531
28.556769,77.409223
28.556769,77.416915
28.556769,77.424608
28.556769,77.4323
28.564462,77.3323
28.564462,77.339992
28.564462,77.347685
28.564462,77.355377
28.564462,77.363069
28.564462,77.370762
28.564462,77.378454
28.564462,77.386146
28.564462,77.393838
28.564462,77.401531
28.564462,77.409223
28.564462,77.416915
28.564462,77.424608
28.564462,77.4323
28.572154,77.3323
28.572154,77.339992
28.572154,77.347685
28.572154,77.355377
28.572154,77.363069
28.572154,77.370762
28.572154,77.378454
28.572154,77.386146
28.572154,77.393838
28.572154,77.401531
28.572154,77.409223
28.572154,77.416915
28.572154,77.424608
28.572154,77.4323
28.579846,77.3323
28.579846,77.339992
28.579846,77.347685
28.579846,77.355377
28.579846,77.363069
28.579846,77.370762
28.579846,77.378454
28.579846,77.386146
28.579846,77.393838
28.579846,77.401531
28.579846,77.409223
28.579846,77.416915
28.579846,77.424608
28.579846,77.4323
28.587538,77.3323
28.587538,77.339992
28.587538,77.347685
28.587538,77.355377
28.587538,77.363069
28.587538,77.370762
28.587538,77.378454
28.587538,77.386146
28.587538,77.393838
28.587538,77.401531
28.587538,77.409223
28.587538,77.416915
28.587538,77.424608
28.587538,77.4323
28.595231,77.3323
28.595231,77.339992
28.595231,77.347685
28.595231,77.355377
28.595231,77.363069
28.595231,77.370762
28.595231,77.378454
28.595231,77.386146
28.595231,77.393838
28.595231,77.401531
28.595231,77.409223
28.595231,77.416915
28.595231,77.424608
28.595231,77.4323
28.602923,77.3323
28.602923,77.339992
28.602923,77.347685
28.602923,77.355377
28.602923,77.363069
28.602923,77.370762
28.602923,77.378454
28.602923,77.386146
28.602923,77.393838
28.602923,77.401531
28.602923,77.409223
28.602923,77.416915
28.602923,77.424608
28.602923,77.4323
28.610615,77.3323
28.610615,77.339992
28.610615,77.347685
28.610615,77.355377
28.610615,77.363069
28.610615,77.370762
28.610615,77.378454
28.610615,77.386146
28.610615,77.393838
28.610615,77.401531
28.610615,77.409223
28.610615,77.416915
28.610615,77.424608
28.610615,77.4323
28.618308,77.3323
28.618308,77.339992
28.618308,77.347685
28.618308,77.355377
28.618308,77.363069
28.618308,77.370762
28.618308,77.378454
28.618308,77.386146
28.618308,77.393838
28.618308,77.401531
28.618308,77.409223
28.618308,77.416915
28.618308,77.424608
28.618308,77.4323
28.626,77.3323
28.626,77.339992
28.626,77.347685
28.626,77.355377
28.626,77.363069
28.626,77.370762
28.626,77.378454
28.626,77.386146
28.626,77.393838
28.626,77.401531
28.626,77.409223
28.626,77.416915
28.626,77.424608
28.626,77.4323
